3373;0;0;0;0;0
3216;30000;72500;72500;0;0
3355;0;0;0;0;0
3421;0;0;0;0;0
3319;20000;0;0;0;0
3339;230000;0;0;0;0
3253;72000;72000;0;0;0
3435;0;0;0;0;0
3205;100000;100000;0;0;0
3290;50000;80000;0;0;0
3102;72500;72500;150000;78000;0
3420;0;0;0;0;0
3206;20000;0;0;0;0
3266;65000;50000;0;0;0
3363;0;0;0;0;0
3202;72500;20000;0;0;0
3104;72500;70000;75000;20000;70000
3364;0;0;0;0;0
3259;65000;65000;0;0;0
3425;0;0;0;0;0
3401;0;0;0;0;0
3275;80000;80000;0;0;0
3232;72500;0;0;0;0
3276;97500;45000;52500;0;0
3400;0;0;0;0;0
3343;65000;0;0;0;0
3254;65000;65000;0;0;0
3404;0;0;0;0;0
3186;72500;70000;72500;0;0
3390;0;0;0;0;0
3180;80000;80000;20000;0;0
3238;65000;46000;84000;0;0
3354;0;0;0;0;0
3356;130000;0;0;0;0
3405;0;0;0;0;0
3236;0;0;0;0;0
3415;0;0;0;0;0
3419;0;0;0;0;0
